Pressure Zone,MNF,Industrial Usage,Reliability
P_MINCHINBURY_RED_1,7.305493456677,0.099948059,1
P_WAHROONGA_EL,38.834581687134,0.171852767,1
P_DURAL_SOUTH_REM,37.7563351789941,0.127729816,0
P_WENTWORTH_FALLS_RED_1,6.99867953418461,0.146904081,1
P_WOODFORD,3.94803571543621,0.008161976,1
P_LAWSON_REM,-9.56408768001769,0.063815396,0
P_MARAYONG_REM,-3.29979464854205,0.092615582,1
P_CRANEBROOK_EL_REM,1.72105369142038,0.036442952,1
P_PARKLEA,6.61749400107526,0.069849783,1
P_MARAYONG_EL,8.52586077279521,0.070999198,1
P_WAHROONGA_REM,-8.0911650787232,0.168994941,0
P_WARRIMOO,-3.16987032438324,0.046402357,0
P_BEROWRA_EL,13.0892077273675,0.129134006,0
P_COWAN_NORTH_RED_1,7.08464318112713,0.176342435,0
P_NEWPORT_REM,8.59704452611288,0.150246718,1
P_PALM_BEACH_EL,11.9372800215286,0.035549434,1
P_NEWPORT_HEIGHTS_EL,1.2087137593102,0.005312508,1
P_MINKARA,15.8113031108286,0.042012458,1
P_NEWPORT_RED_1,12.1618120660173,0.130538468,1
P_NEWPORT_RED_6,7.54698004118337,0.084496065,1
P_NEWPORT_RED_12,5.37202213508982,0.050397471,1
P_NEWPORT_RED_7,6.99694267246395,0.079578089,1
P_NEWPORT_RED_10,6.2594039498276,0.006474012,1
P_NEWPORT_RED_9,22.4988083331266,0.086448098,1
P_NEWPORT_RED_4,5.63237278656054,0.173297767,1
P_HORNSBY_HEIGHTS_EL,5.75492940893054,0.055168907,1
P_GLOSSODIA_EL,12.3290975088886,0.126827353,0
P_KELLYVILLE_EL,1.67046254098624,0.04939245,1
P_CASTLEREAGH_EL,26.8910875249622,0.130942488,1
P_MT_RIVERVIEW_REM,15.6805241967956,0.0586239,1
P_LINDEN_RED_1,3.89455933069087,0.027346468,1
P_SPRINGWOOD_RED_1,8.39111324914082,0.131937651,1
P_FAULCONBRIDGE_RED_2,17.6207052518879,0.109469548,1
P_FAULCONBRIDGE_REM,6.71230786147067,0.190325398,1
P_SPRINGWOOD_REM,34.9670138468416,0.158990552,1
P_FAULCONBRIDGE_RED_1,4.24411113782496,0.154204079,1
P_FAULCONBRIDGE_RED_3,3.25495728898886,0.007345833,1
P_LINDEN_REM,-138.679339916486,0.047856147,0
P_LAWSON_RED_1,4.24915414447124,0.016691117,1
P_WENTWORTH_FALLS_REM,-51.6175874832265,0.037276485,0
P_BULLABURRA_REM,-0.962789031954145,0.104972381,0
P_KATOOMBA,-45.8808848809415,0.180764737,0
P_CATALINA_RED_2,4.22845128449581,0.08597778,1
P_MT_RIVERVIEW_RED_1,4.00231857953121,0.114507201,1
P_LEUMEAH_RED_3,8.91843293647247,0.091728401,0
P_MENAI,6.71095117089159,0.052907938,1
P_CASTLE_HILL,11.2265080989343,0.103104571,1
P_SUTHERLAND_DMA_2,4.87349236623637,0.045613044,1
P_BAULKHAM_HILLS_REM,8.73133372469235,0.070747767,1
P_EAST_HILLS_REM,14.5653271326003,0.157616009,1
P_SUTHERLAND_REM,10.8119808986423,0.169605427,0
P_HOLROYD_REM,4.42257430306148,0.101418882,0
P_BAULKHAM_HILLS_RED_1,6.73417024291968,0.086022443,1
P_LOFTUS_RED_4,5.45519971353336,0.125030916,1
P_WARRAGAMBA_NORTH_RED_1,10.1747217594302,0.083828931,1
P_LIVERPOOL_REM,8.63272887814064,0.137421083,1
P_BONNYRIGG_REM,29.964370274614,0.074581188,0
P_ERSKINE_PARK,9.88372819353516,0.157343573,0
P_EMU_PLAINS_RED_1,4.79350015507386,0.068490958,0
P_BRINGELLY_ROAD_RED_4,5.85021306881451,0.01934252,1
P_EMU_PLAINS_RED_2,1.74578207165775,0.019473666,0
P_ORCHARD_HILLS_REM,9.74829215619716,0.040278316,0
P_LEONAY,-16.295613652164,0.000177693,0
P_GLENBROOK,5.03710957866913,0.064487707,1
P_BRINGELLY_ROAD_RED_2,5.56429212016091,0.015713279,1
P_WARRAGAMBA_NORTH_RED_2,10.881043819753,0.199549949,1
P_MARAYONG_RED_1,4.75753077661296,0.003768715,1
P_PROSPECT_HILL_EL_RED_3,6.35956357884954,0.031785659,1
P_PROSPECT_HILL_EL_RED_2,8.79183969415331,0.060240517,0
P_PROSPECT_HILL_EL_RED_4,8.73721869237588,0.038695854,1
P_PROSPECT_HILL_EL_RED_1,7.75082675651243,0.058262907,1
P_PROSPECT_HILL_RED_3,2.36316409597257,0.06554536,0
P_HOLROYD_RED_1,40.2851683382838,0.140358016,0
P_PROSPECT_HILL_RED_2,8.77785977016165,0.152542983,1
P_LIVERPOOL_RED_2,4.02383214303553,0.068535167,1
P_CARNES_HILL_REM,6.97419871315836,0.063860484,1
P_BONNYRIGG_RED_3,7.24752527073711,0.029324839,1
P_BONNYRIGG_RED_4,20.6086817180691,0.084845748,0
P_CECIL_PARK_RED_3,0.637912977244596,0.028001828,0
P_CECIL_PARK_RED_2,7.77413561948807,0.092408721,1
P_BONNYRIGG_RED_2,23.7735371908204,0.090402244,0
P_WETHERILL_PARK_RED_1,9.49667585633768,0.076769074,1
P_VOYAGER_POINT,7.45930794878972,0.000103468,1
P_INGLEBURN_REM,16.4877586530241,0.110045513,0
P_CARNES_HILL_RED_1,7.04519854402721,0.059943817,1
P_MINTO_RED_1,5.5128192596792,0.037998334,1
P_WAHROONGA_RED_3,11.5722722025349,0.037135003,1
P_DOVER_HEIGHTS,23.2246033153089,0.132430316,1
P_VAUCLUSE_EL,8.67524244773602,0.049856843,1
P_PYMBLE_RED_7,21.8781824981125,0.059846244,1
P_PYMBLE_REM,16.2759162264877,0.150952714,1
P_HERMITAGE_RED_4,9.66057802726918,0.057973945,1
P_KILLARA_RED_2,9.63577141396836,0.1190935,0
P_BEECROFT_RED_1,8.36050677754581,0.051269499,1
P_MOBBS_HILL_REM,11.7818646764488,0.150935792,0
P_HERMITAGE_REM,16.7433208197119,0.179718999,1
P_WEST_PENNANT_HILLS_RED_2,11.1102908200987,0.040501884,1
P_ROGANS_HILL_DMA_2,9.59206657278683,0.171514496,1
P_BEECROFT_REM,7.23339729552239,0.11741482,0
P_WEST_PENNANT_HILLS_RED_1,9.1304175707807,0.035116119,1
P_PYMBLE_RED_3,8.94794376399164,0.069412595,1
P_WAHROONGA_RED_1,11.1061444265489,0.041499706,1
P_WAHROONGA_RED_5,18.0285558001168,0.001796121,1
P_WAHROONGA_RED_2,26.8770362342305,0.128611319,1
P_WAHROONGA_RED_6,4.69450241693015,0.058115786,1
P_PYMBLE_RED_6,11.3095062213048,0.077430251,1
P_PYMBLE_RED_5,24.2329961799966,0.101478042,1
P_CHATSWOOD_RED_2,12.0680276179326,0.111779405,0
P_MOBBS_HILL_RED_3,10.1166911993916,0.132903836,1
P_HERMITAGE_RED_1,18.330276050658,0.167589449,1
P_HERMITAGE_RED_7,9.53570189112228,0.060643555,0
P_HERMITAGE_RED_5,39.4858484310605,0.137460308,1
P_CHATSWOOD_RED_8,4.06553556126821,0.007634995,1
P_ASHFIELD_REM,77.3409691811274,0.152030604,0
P_HERMITAGE_RED_2,20.4438731790916,0.067136404,1
P_ASHFIELD_RED_3,13.89353041988,0.061789688,1
P_DUNDAS,7.43196192950683,0.113791612,1
P_MOBBS_HILL_RED_2,16.2643436794184,0.039421727,1
P_MOBBS_HILL_RED_4,7.05103454349011,0.095171369,0
P_HERMITAGE_RED_3,12.9481561937349,0.132676926,1
P_BANTRY_RED_2,16.1359077304236,0.040194238,1
